,Detector,Descriptor,CameraTTCMean,LidarTTCMean,ErrorMean,ErrorStd,NumNanInf
0,Shitomasi,Orb,11.731,11.811,0.079,2.409,0
0,Fast,Orb,11.731,11.811,0.079,2.079,0
0,Fast,Freak,11.926,11.811,0.115,2.014,0
0,Fast,Sift,11.934,11.811,0.123,1.801,0
0,Shitomasi,Freak,11.951,11.811,0.140,2.400,0
0,Harris,Sift,11.389,11.811,0.155,6.264,5
0,Sift,Brisk,12.004,11.811,0.194,1.280,0
0,Sift,Sift,11.616,11.811,0.195,1.638,0
0,Shitomasi,Sift,12.041,11.811,0.231,2.361,0
0,Fast,Brisk,12.056,11.811,0.245,2.206,0
0,Shitomasi,Brisk,12.061,11.811,0.250,2.173,0
0,Sift,Brief,12.089,11.811,0.279,1.674,0
0,Sift,Freak,12.094,11.811,0.283,1.427,0
0,Fast,Brief,12.170,11.811,0.359,1.923,0
0,Shitomasi,Brief,12.185,11.811,0.374,2.707,0
0,Akaze,Orb,12.262,11.811,0.451,1.666,0
0,Akaze,Akaze,12.269,11.811,0.458,1.610,0
0,Akaze,Freak,12.273,11.811,0.463,1.547,0
0,Akaze,Brief,12.275,11.811,0.464,1.821,0
0,Akaze,Sift,12.340,11.811,0.530,1.665,0
0,Akaze,Brisk,12.369,11.811,0.558,1.808,0
0,Harris,Freak,14.991,11.811,1.920,8.309,11
0,Brisk,Sift,13.974,11.811,2.163,3.055,0
0,Brisk,Brief,14.034,11.811,2.224,2.457,0
0,Brisk,Orb,14.068,11.811,2.257,2.527,0
0,Brisk,Freak,14.113,11.811,2.302,3.497,0
0,Brisk,Brisk,14.445,11.811,2.634,4.067,0
0,Orb,Sift,14.439,11.811,2.733,7.655,3
0,Orb,Brisk,18.790,11.811,6.787,19.470,1
0,Orb,Freak,19.182,11.811,7.165,44.066,2
0,Orb,Orb,33.765,11.811,21.762,53.274,1
0,Orb,Brief,37.094,11.811,25.597,55.539,3
0,Harris,Brief,46.327,11.811,34.545,104.246,8
0,Harris,Orb,47.314,11.811,35.193,103.883,8
0,Harris,Brisk,54.604,11.811,43.338,108.384,9
0,Shitomasi,Akaze,,,,,0
0,Harris,Akaze,,,,,0
0,Fast,Akaze,,,,,0
0,Brisk,Akaze,,,,,0
0,Orb,Akaze,,,,,0
0,Sift,Orb,,,,,0
0,Sift,Akaze,,,,,0
